id,Name,Description,State,DefaultAction,Role,visible,is_keyboard_focusable,Control_Type,Top Position,Left Position,Length,Height,Area,has_children,has_invoke,has_selection,has_expand,has_selection_item,has_toggle,has_text,has_value,has_range_value,has_grid,has_grid_item,has_table,has_table_item,has_scroll_item,has_scroll,has_transform,has_transformV2,has_window,has_item_container,has_virtualized_item,IsMenu
9-4-49-263-138,Clipboard,,0,,22,TRUE,FALSE,ToolBar,57,12,259,89,23051,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9-265-49-454-138,Organize,,0,,22,TRUE,FALSE,ToolBar,57,273,189,89,16821,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9-456-49-599-138,New,,0,,22,TRUE,FALSE,ToolBar,57,464,143,89,12727,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9-601-49-732-138,Open,,0,,22,TRUE,FALSE,ToolBar,57,609,131,89,11659,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9-734-49-847-138,Select,,0,,22,TRUE,FALSE,ToolBar,57,742,113,89,10057,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10-6-51-73-117,Pin to Quick access,Pin folder to Quick access.,1048576,Press,43,TRUE,TRUE,Button,59,14,67,66,4422,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
10-73-51-115-117,Copy,Copy the selected items to the Clipboard.,1048577,Press,43,TRUE,TRUE,Button,59,81,42,66,2772,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
10-115-51-157-117,Paste,Paste the contents of the Clipboard to the current location.,1048577,Press,43,TRUE,TRUE,Button,59,123,42,66,2772,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
10-157-51-201-73,Cut,Move the selected items to the Clipboard.,1048577,Press,43,TRUE,TRUE,Button,59,165,44,22,968,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
10-157-73-236-95,Copy path,Copy the path of the selected items to the Clipboard.,1048577,Press,43,TRUE,TRUE,Button,81,165,79,22,1738,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
10-157-95-256-117,Paste shortcut,Paste shortcuts to the items on the Clipboard.,1048577,Press,43,TRUE,TRUE,Button,103,165,99,22,2178,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
10-267-51-309-117,Move to,Move the selected items to the location you choose.,1074790401,Open,56,TRUE,TRUE,SplitButton,59,275,42,66,2772,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
10-309-51-351-117,Copy to,Copy the selected items to the location you choose.,1074790401,Open,56,TRUE,TRUE,SplitButton,59,317,42,66,2772,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
10-359-51-401-117,Delete,,0,,20,TRUE,FALSE,Group,59,367,42,66,2772,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10-401-51-447-117,Rename,Rename the selected item.,1048577,Press,43,TRUE,TRUE,Button,59,409,46,66,3036,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
10-351-51-359-117,Separator,,64,,40,TRUE,FALSE,Image,59,359,8,66,528,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10-458-51-500-117,New folder,Create a new folder.,1048576,Press,43,TRUE,TRUE,Button,59,466,42,66,2772,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
10-500-51-583-73,New item,Create a new item in the current location.,1074790400,Open,56,TRUE,TRUE,SplitButton,59,508,83,22,1826,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
10-500-73-592-95,Easy access,Create a way to access the selected location quickly and work with offline files.,1074790400,Open,56,TRUE,TRUE,SplitButton,81,508,92,22,2024,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
10-603-51-660-117,Properties,,0,,20,TRUE,FALSE,Group,59,611,57,66,3762,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10-660-51-725-73,Open,Open the selected file with the default program.,1,,20,TRUE,FALSE,Group,59,668,65,22,1430,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10-660-73-706-95,Edit,Edit the selected files.,1048577,Press,43,TRUE,TRUE,Button,81,668,46,22,1012,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
10-660-95-722-117,History,Show history for the selected item.,1048576,Press,43,TRUE,TRUE,Button,103,668,62,22,1364,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
10-736-51-807-73,Select all,Select all items in this view.,1048576,Press,43,TRUE,TRUE,Button,59,744,71,22,1562,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
10-736-73-822-95,Select none,Clear all your selections.,1048576,Press,43,TRUE,TRUE,Button,81,744,86,22,1892,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
10-736-95-840-117,Invert selection,Reverse the current selection.,1048576,Press,43,TRUE,TRUE,Button,103,744,104,22,2288,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11-359-51-401-89,Delete,Move the selected items to the Recycle Bin or permanently delete them.,1048577,Press,62,TRUE,TRUE,SplitButton,59,367,42,38,1596,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11-359-89-401-117,Delete,,1073741824,Open,56,TRUE,FALSE,SplitButton,97,367,42,28,1176,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
