id,Name,Description,State,DefaultAction,Role,visible,is_keyboard_focusable,Control_Type,Top Position,Left Position,Length,Height,Area,has_children,has_invoke,has_selection,has_expand,has_selection_item,has_toggle,has_text,has_value,has_range_value,has_grid,has_grid_item,has_table,has_table_item,has_scroll_item,has_scroll,has_transform,has_transformV2,has_window,has_item_container,has_virtualized_item,IsMenu
0--8--8-1928-1048,new 3 - Notepad++,,1048576,,10,True,True,Window,0,0,1936,1056 ,2044416,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
1-2-94-1918-1015,,,1048580,,10,True,True,Pane,102,10,1916,921 ,1764636,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1-0-68-1920-1017,Tab,,1048576,,60,True,True,Tab,76,8,1920,949 ,1822080,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1-0-1017-1920-1040,,,1048576,,23,True,True,StatusBar,1025,8,1920,23 ,44160,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1-0-43-1920-68,,,1048832,,10,True,True,Pane,51,8,1920,25 ,48000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1-16--5-1920-23,,Displays the name of the window and contains controls to manipulate it,1048576,,1,True,True,TitleBar,3,24,1904,28 ,53312,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1-0-23-1920-42,Application,Contains commands to manipulate the current view or document,1048576,,2,True,True,MenuBar,31,8,1920,19 ,36480,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2-2-70-111-92,video notes.txt,,3145728,Switch,37,True,True,TabItem,78,10,109,22 ,2398,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2-111-70-180-92,new 1,,3145728,Switch,37,True,True,TabItem,78,119,69,22 ,1518,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2-180-70-283-92,README.md,,3145728,Switch,37,True,True,TabItem,78,188,103,22 ,2266,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2-283-70-352-92,new 2,,3145728,Switch,37,True,True,TabItem,78,291,69,22 ,1518,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2-352-70-421-92,new 3,,3145730,Switch,37,True,True,TabItem,78,360,69,22 ,1518,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2-0-1019-1160-1040,Normal text file,,0,,41,True,False,Text,1027,8,1160,21 ,24360,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2-1162-1019-1380-1040,length : 0    lines : 1,,0,,41,True,False,Text,1027,1170,218,21 ,4578,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2-1382-1019-1640-1040,Ln : 1    Col : 1    Pos : 1,,0,,41,True,False,Text,1027,1390,258,21 ,5418,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2-1642-1019-1750-1040,Windows (CR LF),,0,,41,True,False,Text,1027,1650,108,21 ,2268,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2-1752-1019-1870-1040,UTF-8,,0,,41,True,False,Text,1027,1760,118,21 ,2478,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2-1872-1019-1900-1040,INS,,0,,41,True,False,Text,1027,1880,28,21 ,588,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2-2-43-1920-68,,,1048576,,22,True,True,ToolBar,51,10,1918,25 ,47950,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2-0-0-22-22,System,Contains commands to manipulate the window,1048576,,2,True,True,MenuBar,8,8,22,22 ,484,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2-1779-8-1826-22,Minimize,Moves the window out of the way,0,Press,43,True,False,Button,16,1787,47,14 ,658,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2-1826-8-1872-22,Restore,Puts a minimized or maximized window back to normal,0,Press,43,True,False,Button,16,1834,46,14 ,644,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2-1872-8-1928-22,Close,Closes the window,0,Press,43,True,False,Button,16,1880,56,14 ,784,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2-0-23-32-42,File,,1074790400,Open,12,True,True,MenuItem,31,8,32,19 ,608,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2-32-23-66-42,Edit,,1074790400,Open,12,True,True,MenuItem,31,40,34,19 ,646,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2-66-23-115-42,Search,,1074790400,Open,12,True,True,MenuItem,31,74,49,19 ,931,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2-115-23-154-42,View,,1074790400,Open,12,True,True,MenuItem,31,123,39,19 ,741,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2-154-23-218-42,Encoding,,1074790400,Open,12,True,True,MenuItem,31,162,64,19 ,1216,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2-218-23-284-42,Language,,1074790400,Open,12,True,True,MenuItem,31,226,66,19 ,1254,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2-284-23-340-42,Settings,,1074790400,Open,12,True,True,MenuItem,31,292,56,19 ,1064,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2-340-23-381-42,Tools,,1074790400,Open,12,True,True,MenuItem,31,348,41,19 ,779,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2-381-23-429-42,Macro,,1074790400,Open,12,True,True,MenuItem,31,389,48,19 ,912,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2-429-23-464-42,Run,,1074790400,Open,12,True,True,MenuItem,31,437,35,19 ,665,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2-464-23-517-42,Plugins,,1074790400,Open,12,True,True,MenuItem,31,472,53,19 ,1007,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2-517-23-575-42,Window,,1074790400,Open,12,True,True,MenuItem,31,525,58,19 ,1102,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2-575-23-594-42,?,,1074790400,Open,12,True,True,MenuItem,31,583,19,19 ,361,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2-1899-23-1920-42,X,,1048576,Execute,12,True,True,MenuItem,31,1907,21,19 ,399,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3-2-43-25-65,,,0,Press,43,True,False,Button,51,10,23,22 ,506,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3-25-43-48-65,,,0,Press,43,True,False,Button,51,33,23,22 ,506,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3-48-43-71-65,,,1,Press,43,True,False,Button,51,56,23,22 ,506,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3-71-43-94-65,,,0,Press,43,True,False,Button,51,79,23,22 ,506,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3-94-43-117-65,,,0,Press,43,True,False,Button,51,102,23,22 ,506,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3-117-43-140-65,,,0,Press,43,True,False,Button,51,125,23,22 ,506,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3-140-43-163-65,,,0,Press,43,True,False,Button,51,148,23,22 ,506,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3-171-43-194-65,,,1,Press,43,True,False,Button,51,179,23,22 ,506,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3-194-43-217-65,,,1,Press,43,True,False,Button,51,202,23,22 ,506,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3-217-43-240-65,,,1,Press,43,True,False,Button,51,225,23,22 ,506,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3-248-43-271-65,,,1,Press,43,True,False,Button,51,256,23,22 ,506,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3-271-43-294-65,,,1,Press,43,True,False,Button,51,279,23,22 ,506,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3-302-43-325-65,,,0,Press,43,True,False,Button,51,310,23,22 ,506,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3-325-43-348-65,,,0,Press,43,True,False,Button,51,333,23,22 ,506,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3-356-43-379-65,,,0,Press,43,True,False,Button,51,364,23,22 ,506,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3-379-43-402-65,,,0,Press,43,True,False,Button,51,387,23,22 ,506,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3-410-43-433-65,,,0,Press,43,True,False,Button,51,418,23,22 ,506,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3-433-43-456-65,,,0,Press,43,True,False,Button,51,441,23,22 ,506,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3-464-43-487-65,,,16,Press,43,True,False,Button,51,472,23,22 ,506,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3-487-43-510-65,,,0,Press,43,True,False,Button,51,495,23,22 ,506,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3-510-43-533-65,,,16,Press,43,True,False,Button,51,518,23,22 ,506,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3-533-43-556-65,,,0,Press,43,True,False,Button,51,541,23,22 ,506,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3-556-43-579-65,,,0,Press,43,True,False,Button,51,564,23,22 ,506,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3-579-43-602-65,,,0,Press,43,True,False,Button,51,587,23,22 ,506,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3-602-43-625-65,,,0,Press,43,True,False,Button,51,610,23,22 ,506,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3-625-43-648-65,,,1,Press,43,True,False,Button,51,633,23,22 ,506,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3-656-43-679-65,,,0,Press,43,True,False,Button,51,664,23,22 ,506,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3-679-43-702-65,,,1,Press,43,True,False,Button,51,687,23,22 ,506,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3-702-43-725-65,,,1,Press,43,True,False,Button,51,710,23,22 ,506,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3-725-43-748-65,,,0,Press,43,True,False,Button,51,733,23,22 ,506,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3-748-43-771-65,,,1,Press,43,True,False,Button,51,756,23,22 ,506,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3-0-0-22-22,System,,1074790400,Open,12,True,True,MenuItem,8,8,22,22 ,484,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
