id,Name,Description,State,DefaultAction,Role,visible,is_keyboard_focusable,Control_Type,Top Position,Left Position,Length,Height,Area,has_children,has_invoke,has_selection,has_expand,has_selection_item,has_toggle,has_text,has_value,has_range_value,has_grid,has_grid_item,has_table,has_table_item,has_scroll_item,has_scroll,has_transform,has_transformV2,has_window,has_item_container,has_virtualized_item,IsMenu
0--8--8-1928-1048,Untitled - Notepad,,1048576,,10,True,True,Window,0,0,1936,1056 ,2044416,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
1-0-43-1920-1017,Text Editor,,1048580,,42,True,True,Edit,51,8,1920,974 ,1870080,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
1-0-1017-1920-1040,Status Bar,,1048576,,23,True,True,StatusBar,1025,8,1920,23 ,44160,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1-16--5-1920-23,,Displays the name of the window and contains controls to manipulate it,1048576,,1,True,True,TitleBar,3,24,1904,28 ,53312,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1-0-23-1920-42,Application,Contains commands to manipulate the current view or document,1048576,,2,True,True,MenuBar,31,8,1920,19 ,36480,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2-1903-43-1920-1017,Vertical,Used to change the vertical viewing area,1,,3,True,False,ScrollBar,51,1911,17,974 ,16558,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2-0-1019-1490-1040,,,0,,41,True,False,Text,1027,8,1490,21 ,31290,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2-1492-1019-1630-1040,  Ln 1 Col 1,,0,,41,True,False,Text,1027,1500,138,21 ,2898,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2-1632-1019-1680-1040, 100%,,0,,41,True,False,Text,1027,1640,48,21 ,1008,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2-1682-1019-1800-1040, Windows (CRLF),,0,,41,True,False,Text,1027,1690,118,21 ,2478,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2-1802-1019-1920-1040, UTF-8,,0,,41,True,False,Text,1027,1810,118,21 ,2478,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2-0-0-22-22,System,Contains commands to manipulate the window,1048576,,2,True,True,MenuBar,8,8,22,22 ,484,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2-1779-8-1826-22,Minimize,Moves the window out of the way,0,Press,43,True,False,Button,16,1787,47,14 ,658,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2-1826-8-1872-22,Restore,Puts a minimized or maximized window back to normal,0,Press,43,True,False,Button,16,1834,46,14 ,644,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2-1872-8-1928-22,Close,Closes the window,0,Press,43,True,False,Button,16,1880,56,14 ,784,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2-0-23-32-42,File,,1074790400,Open,12,True,True,MenuItem,31,8,32,19 ,608,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2-32-23-66-42,Edit,,1074790400,Open,12,True,True,MenuItem,31,40,34,19 ,646,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2-66-23-118-42,Format,,1074790400,Open,12,True,True,MenuItem,31,74,52,19 ,988,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2-118-23-157-42,View,,1074790400,Open,12,True,True,MenuItem,31,126,39,19 ,741,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2-157-23-196-42,Help,,1074790400,Open,12,True,True,MenuItem,31,165,39,19 ,741,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3-1903-43-1920-60,Line up,Moves the vertical position up one line,1,Press,43,True,False,Button,51,1911,17,17 ,289,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3-1903-1000-1920-1017,Line down,Moves the vertical position down one line,1,Press,43,True,False,Button,1008,1911,17,17 ,289,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3-0-0-22-22,System,,1074790400,Open,12,True,True,MenuItem,8,8,22,22 ,484,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
