id,Name,Description,State,DefaultAction,Role,visible,is_keyboard_focusable,Control_Type,Top Position,Left Position,Length,Height,Area,has_children,has_invoke,has_selection,has_expand,has_selection_item,has_toggle,has_text,has_value,has_range_value,has_grid,has_grid_item,has_table,has_table_item,has_scroll_item,has_scroll,has_transform,has_transformV2,has_window,has_item_container,has_virtuzed_item,IsMenu
2-583-3-1643-71, g  Sorry in a meeting sent at 11:23 AM.,,1048576,click,16,TRUE,TRUE,Group,11,591,1060,68,72080,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2-583-71-1643-111, g  Will call later sent at 11:23 AM.,,1048576,click,16,TRUE,TRUE,Group,79,591,1060,40,42400,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2-583-111-1643-178,  Do you have an estimate time? sent at 11:27 AM.,,1048576,click,16,TRUE,TRUE,Group,119,591,1060,67,71020,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2-583-178-1643-282, g  Around 2 sent at 11:37 AM.  reacted with a Yes.,,1048576,click,16,TRUE,TRUE,Group,186,591,1060,104,110240,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2-583-282-1643-349,  Ready? sent at 2:28 PM.,,1048576,click,16,TRUE,TRUE,Group,290,591,1060,67,71020,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2-583-349-1643-405,A call from  g  at 2:40 PM.,,1048576,click,16,TRUE,TRUE,Group,357,591,1060,56,59360,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2-583-405-1643-441,Wednesday,,1048576,click,16,TRUE,TRUE,Group,413,591,1060,36,38160,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2-583-441-1643-497,A call from  g  at 11:44 AM.,,1048576,click,16,TRUE,TRUE,Group,449,591,1060,56,59360,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2-583-497-1643-533,Yesterday,,1048576,click,16,TRUE,TRUE,Group,505,591,1060,36,38160,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2-583-533-1643-600,  Ready? sent at 11:17 AM.,,1048576,click,16,TRUE,TRUE,Group,541,591,1060,67,71020,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
