id,Name,Description,State,DefaultAction,Role,visible,is_keyboard_focusable,Control_Type,Top Position,Left Position,Length,Height,Area,has_children,has_invoke,has_selection,has_expand,has_selection_item,has_toggle,has_text,has_value,has_range_value,has_grid,has_grid_item,has_table,has_table_item,has_scroll_item,has_scroll,has_transform,has_transformV2,has_window,has_item_container,has_virtualized_item,IsMenu
9-4-49-107-138,Clipboard,,0,,22,True,False,ToolBar,57,12,103,89 ,9167,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
9-109-49-330-138,Font,,0,,22,True,False,ToolBar,57,117,221,89 ,19669,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
9-332-49-461-138,Paragraph,,0,,22,True,False,ToolBar,57,340,129,89 ,11481,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
9-463-49-656-138,Insert,,0,,22,True,False,ToolBar,57,471,193,89 ,17177,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
9-658-49-738-138,Editing,,0,,22,True,False,ToolBar,57,666,80,89 ,7120,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10-48-51-92-73,Cut,Cut the selection from the document and put it on the Clipboard.,1048577,Press,43,True,True,Button,59,56,44,22 ,968,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10-48-73-100-95,Copy,Copy the selection and put it on the Clipboard.,1048577,Press,43,True,True,Button,81,56,52,22 ,1144,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10-111-59-232-81,Font family,Change the font family.,0,,46,True,False,ComboBox,67,119,121,22 ,2662,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
10-232-59-275-81,Font size,Change the font size.,0,,46,True,False,ComboBox,67,240,43,22 ,946,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
10-278-59-301-81,Grow font,Increase the font size.,1048576,Press,43,True,True,Button,67,286,23,22 ,506,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10-301-59-323-81,Shrink font,Reduce the font size.,1048576,Press,43,True,True,Button,67,309,22,22 ,484,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10-111-88-134-110,Bold,Change to a heavier font.,1048576,Press,43,True,True,Button,96,119,23,22 ,506,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10-134-88-158-110,Italic,Change to an italic font.,1048576,Press,43,True,True,Button,96,142,24,22 ,528,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10-158-88-182-110,Underline,Draw a line below the text.,1048576,Press,43,True,True,Button,96,166,24,22 ,528,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10-182-88-206-110,Strikethrough,Draw a line through the text.,1048576,Press,43,True,True,Button,96,190,24,22 ,528,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10-206-88-230-110,Subscript,Draw the text smaller and lower than regular text.,1048576,Press,43,True,True,Button,96,214,24,22 ,528,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10-230-88-252-110,Superscript,Draw the text smaller and higher than regular text.,1048576,Press,43,True,True,Button,96,238,22,22 ,484,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10-255-88-289-110,Text color,Change the text color.,0,,20,True,False,Group,96,263,34,22 ,748,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10-289-88-322-110,Text highlight color,Make text look like it was marked with a highlighter pen.,0,,20,True,False,Group,96,297,33,22 ,726,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10-334-59-357-81,Decrease indent,Decrease the indent level of the paragraph.,1048576,Press,43,True,True,Button,67,342,23,22 ,506,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10-357-59-379-81,Increase indent,Increase the indent level of the paragraph.,1048576,Press,43,True,True,Button,67,365,22,22 ,484,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10-382-59-417-81,Lists,Click the arrow to choose different list styles.,0,,20,True,False,Group,67,390,35,22 ,770,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10-420-59-452-81,Change line spacing,Change the spacing between lines of text. Add or remove the space after paragraphs.,1074790400,Open,56,True,True,SplitButton,67,428,32,22 ,704,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10-334-88-357-110,Align text left,Align text to the left.,1048584,Press,43,True,True,Button,96,342,23,22 ,506,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10-357-88-381-110,Align text center,Center text.,1048576,Press,43,True,True,Button,96,365,24,22 ,528,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10-381-88-405-110,Align text right,Align text to the right.,1048576,Press,43,True,True,Button,96,389,24,22 ,528,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10-405-88-427-110,Justify text,Align text to both left and right margins adding extra space between words as necessary. This creates a clean look along the left and right side of the page.,1048576,Press,43,True,True,Button,96,413,22,22 ,484,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10-430-88-454-110,Paragraph,Show the Paragraph dialog box.,1048576,Press,43,True,True,Button,96,438,24,22 ,528,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10-465-51-507-117,Picture,Click here for more options such as change picture and resize picture.,0,,20,True,False,Group,59,473,42,66 ,2772,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10-507-51-555-117,Paint drawing,Insert drawing created in Microsoft Paint.,1048576,Press,43,True,True,Button,59,515,48,66 ,3168,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10-555-51-607-117,Date and time,Click here for date and time format options.,1048576,Press,43,True,True,Button,59,563,52,66 ,3432,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10-607-51-649-117,Insert object,Show the Insert object dialog box.,1048576,Press,43,True,True,Button,59,615,42,66 ,2772,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10-660-51-709-73,Find,Find text in the document.,1048577,Press,43,True,True,Button,59,668,49,22 ,1078,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10-660-73-726-95,Replace,Replace text in the document.,1048577,Press,43,True,True,Button,81,668,66,22 ,1452,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10-660-95-731-117,Select all,,1048577,Press,43,True,True,Button,103,668,71,22 ,1562,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
11-6-51-48-89,Paste,Paste the contents of the Clipboard.,1048577,Press,62,True,True,SplitButton,59,14,42,38 ,1596,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
11-6-89-48-117,Paste,,1073741825,Open,56,True,False,SplitButton,97,14,42,28 ,1176,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
11-218-59-232-81,Open,,0,Open,43,True,False,Button,67,226,14,22 ,308,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
11-261-59-275-81,Open,,0,Open,43,True,False,Button,67,269,14,22 ,308,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
